PropertyID,Country,Type,Bedrooms,Bathrooms,SquareFootage,Price,ListedDate,Status,Img,Location
14,Japan,Apartment,2,2,1000,400000,12/2/2023,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"Tokyo, 1 Chiyoda"
15,Brazil,Single Family,5,4,1500,600000,3/6/2024,Sold,https://medias.residences-immobilier.com/pict/international/f520x390/3/3/6/0/ext_0_3360003.jpg?t=1707501160,"São Paulo, 33 Paulista Ave"
16,South Africa,Condo,2,4,1500,500000,3/20/2022,Pending,https://cdn.thinkwebcontent.com/property/35351/7381745/20240523210210/w1024h576/s640x480/x-232259784.jpg,"Cape Town, 123 Long St"
17,India,Condo,5,3,750,300000,6/19/2022,Sold,https://lid.zoocdn.com/645/430/6f7de01d9bc1f8950af4917469f1814318888b7e.jpg,"Mumbai, 50 Marine Drive"
18,Italy,Townhouse,2,4,1200,800000,8/17/2023,Sold,https://www.mckissock.com/wp-content/uploads/2016/11/GettyImages-1151832961.jpg,"Rome, 25 Via del Corso"
19,France,Townhouse,3,1,1800,700000,5/30/2024,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"Paris, 50 Champs-Élysées"
20,Mexico,Condo,4,4,1000,1000000,8/14/2024,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Mexico City, 67 Reforma Ave"
21,Canada,Townhouse,3,3,1500,600000,3/27/2024,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Toronto, 123 Maple St"
22,Australia,Condo,3,4,2000,500000,4/15/2022,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Sydney, 34 George St"
23,Germany,Townhouse,3,4,2500,800000,3/18/2024,Sold,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Berlin, 12 Alexanderplatz"
24,Japan,Single Family,4,3,2000,700000,5/19/2022,Pending,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Tokyo, 1 Chiyoda"
25,Brazil,Apartment,3,2,2500,500000,1/10/2024,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"São Paulo, 33 Paulista Ave"
26,South Africa,Single Family,5,4,1500,900000,9/16/2023,Pending,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Cape Town, 123 Long St"
27,India,Condo,2,2,2500,1000000,12/25/2023,Sold,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Mumbai, 50 Marine Drive"
28,Italy,Condo,4,4,1500,1000000,10/26/2022,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Rome, 25 Via del Corso"
29,France,Condo,1,2,1200,500000,10/9/2022,Sold,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"Paris, 50 Champs-Élysées"
30,Mexico,Condo,5,4,2000,900000,8/2/2022,Sold,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"Mexico City, 67 Reforma Ave"
31,Canada,Single Family,4,4,1800,1000000,2/19/2022,Pending,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"Toronto, 123 Maple St"
32,Australia,Apartment,2,2,1500,700000,3/18/2024,Sold,"https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/268c4b03-533f-4e81-aec1-0c22df466a90/4f5ea4f7-ab1e-49e7-9757-7f4b3ede7820.png","Sydney, 34 George St"
33,Germany,Condo,4,3,1800,900000,8/22/2022,Sold,https://plus.unsplash.com/premium_photo-1661954372617-15780178eb2e?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bHV4dXJ5JTIwcmVhbCUyMGVzdGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"Berlin, 12 Alexanderplatz"
34,Japan,Single Family,5,4,1000,400000,10/25/2023,Sold,https://media.rightmove.co.uk/dir/crop/10:9-16:9/204k/203147/121885529/203147_1342113-1_IMG_02_0000_max_476x317.jpeg,"Tokyo, 1 Chiyoda"
35,Brazil,Townhouse,5,1,750,900000,2/26/2022,Sold,https://media.rightmove.co.uk/dir/216k/215192/139088444/215192_26600911_IMG_13_0003_max_656x437.jpeg,"São Paulo, 33 Paulista Ave"
36,South Africa,Condo,1,4,750,1000000,5/23/2022,Sold,https://assets.site-static.com/userFiles/1075/image/si-modern-home.png,"Cape Town, 123 Long St"
37,India,Townhouse,3,1,1000,200000,6/19/2024,Sold,https://content.api.news/v3/images/bin/164008cf6daa2b8cd2fe7df1e7635484,"Mumbai, 50 Marine Drive"
38,Italy,Condo,2,1,750,900000,7/25/2024,Sold,https://assets-listings.rew.ca/brc_idx_rew/brc/R2811252/20230901193317/01.jpeg,"Rome, 25 Via del Corso"
39,France,Condo,5,1,1500,600000,4/28/2023,Sold,https://mediaserver.realestate.co.nz/listings/42608710/92a882559fcbf91ff2a6852d6ba9dca2.crop.768x512.jpg?options=compress,"Paris, 50 Champs-Élysées"
40,Mexico,Single Family,5,2,2000,1000000,10/5/2023,Sold,https://mediaserver.realestate.co.nz/listings/42632555/cf757ea61fc8fe87ce615171913eee6e.crop.324x208.jpg?options=compress,"Mexico City, 67 Reforma Ave"
41,Canada,Apartment,2,4,2500,600000,4/3/2023,Sold,https://www.ghanarealestatedevelopers.com/wp-content/uploads/2018/04/GHANAREALESTATEDEVELOPERS-1-19.jpg,"Toronto, 123 Maple St"
42,Australia,Single Family,5,3,1200,600000,5/13/2024,Sold,https://images-listings.coldwellbanker.com/OR_SOMLS/22/01/70/88/2/_P/220170882_P00.jpg,"Sydney, 34 George St"
43,Germany,Single Family,1,2,750,200000,4/18/2024,Pending,https://lid.zoocdn.com/645/430/6f7de01d9bc1f8950af4917469f1814318888b7e.jpg,"Berlin, 12 Alexanderplatz"
44,Japan,Townhouse,1,2,1000,600000,11/20/2023,Sold,https://www.mckissock.com/wp-content/uploads/2016/11/GettyImages-1151832961.jpg,"Tokyo, 1 Chiyoda"
45,Brazil,Single Family,3,3,1200,1000000,7/27/2023,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"São Paulo, 33 Paulista Ave"
46,South Africa,Single Family,4,4,1000,200000,3/15/2023,Pending,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Cape Town, 123 Long St"
47,India,Single Family,2,3,1500,200000,8/12/2024,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Mumbai, 50 Marine Drive"
48,Italy,Apartment,1,3,1000,600000,7/3/2024,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Rome, 25 Via del Corso"
49,France,Townhouse,1,2,2000,900000,5/20/2022,Sold,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Paris, 50 Champs-Élysées"
50,Mexico,Condo,1,1,1500,500000,3/7/2024,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Mexico City, 67 Reforma Ave"
51,Canada,Condo,1,4,750,900000,2/18/2023,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Toronto, 123 Maple St"
52,Australia,Townhouse,3,2,1200,900000,1/13/2022,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Sydney, 34 George St"
53,Germany,Townhouse,5,4,1800,400000,8/28/2022,Sold,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Berlin, 12 Alexanderplatz"
54,Japan,Single Family,1,2,2000,400000,8/14/2022,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Tokyo, 1 Chiyoda"
55,Brazil,Townhouse,3,3,1200,300000,11/9/2023,Pending,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"São Paulo, 33 Paulista Ave"
56,South Africa,Single Family,4,4,1800,900000,12/4/2022,Sold,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Cape Town, 123 Long St"
57,India,Single Family,5,2,2500,200000,12/10/2022,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"Mumbai, 50 Marine Drive"
58,Italy,Condo,4,4,750,900000,8/2/2022,Pending,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"Rome, 25 Via del Corso"
59,France,Townhouse,5,1,1000,700000,4/27/2023,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"Paris, 50 Champs-Élysées"
60,Mexico,Condo,5,1,2500,900000,3/10/2023,Pending,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"Mexico City, 67 Reforma Ave"
61,Canada,Townhouse,5,4,2000,300000,6/24/2022,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Toronto, 123 Maple St"
62,Australia,Condo,3,4,2000,300000,5/18/2024,Sold,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Sydney, 34 George St"
63,Germany,Single Family,2,4,1500,400000,1/18/2024,Sold,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Berlin, 12 Alexanderplatz"
64,Japan,Single Family,4,4,1500,600000,12/11/2022,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Tokyo, 1 Chiyoda"
65,Brazil,Condo,5,2,2500,300000,12/27/2022,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"São Paulo, 33 Paulista Ave"
66,South Africa,Single Family,5,3,1500,600000,8/7/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Cape Town, 123 Long St"
67,India,Apartment,1,2,2500,700000,4/21/2023,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"Mumbai, 50 Marine Drive"
68,Italy,Condo,1,1,750,1000000,4/11/2022,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"Rome, 25 Via del Corso"
69,France,Condo,3,1,750,400000,3/8/2023,Pending,https://medias.residences-immobilier.com/pict/international/f520x390/3/3/6/0/ext_0_3360003.jpg?t=1707501160,"Paris, 50 Champs-Élysées"
70,Mexico,Townhouse,5,2,2000,300000,1/16/2023,Sold,https://cdn.thinkwebcontent.com/property/35351/7381745/20240523210210/w1024h576/s640x480/x-232259784.jpg,"Mexico City, 67 Reforma Ave"
71,Canada,Single Family,4,1,1800,800000,7/15/2022,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"Toronto, 123 Maple St"
72,Australia,Apartment,4,2,1200,500000,2/14/2023,Pending,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Sydney, 34 George St"
73,Germany,Townhouse,1,1,1200,200000,11/27/2022,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Berlin, 12 Alexanderplatz"
74,Japan,Condo,1,3,2500,500000,12/29/2022,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Tokyo, 1 Chiyoda"
75,Brazil,Apartment,2,4,1000,700000,8/11/2023,Sold,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"São Paulo, 33 Paulista Ave"
76,South Africa,Apartment,5,1,1800,300000,1/19/2023,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Cape Town, 123 Long St"
77,India,Single Family,5,2,750,500000,4/25/2023,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Mumbai, 50 Marine Drive"
78,Italy,Condo,1,4,750,900000,3/3/2024,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Rome, 25 Via del Corso"
79,France,Townhouse,1,2,1500,300000,7/28/2024,Sold,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Paris, 50 Champs-Élysées"
80,Mexico,Apartment,1,4,1800,300000,7/6/2023,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Mexico City, 67 Reforma Ave"
81,Canada,Condo,2,4,1800,900000,7/20/2024,Sold,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"Toronto, 123 Maple St"
82,Australia,Single Family,2,4,750,600000,6/11/2022,Sold,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"Sydney, 34 George St"
83,Germany,Condo,2,3,1800,400000,9/2/2023,Pending,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"Berlin, 12 Alexanderplatz"
84,Japan,Single Family,5,1,1500,200000,11/10/2023,Pending,"https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/268c4b03-533f-4e81-aec1-0c22df466a90/4f5ea4f7-ab1e-49e7-9757-7f4b3ede7820.png","Tokyo, 1 Chiyoda"
85,Brazil,Condo,2,2,1500,500000,4/13/2022,Sold,https://plus.unsplash.com/premium_photo-1661954372617-15780178eb2e?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bHV4dXJ5JTIwcmVhbCUyMGVzdGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"São Paulo, 33 Paulista Ave"
86,South Africa,Townhouse,5,1,2000,400000,4/29/2024,Pending,https://media.rightmove.co.uk/dir/crop/10:9-16:9/204k/203147/121885529/203147_1342113-1_IMG_02_0000_max_476x317.jpeg,"Cape Town, 123 Long St"
87,India,Condo,1,3,750,600000,10/20/2022,Sold,https://media.rightmove.co.uk/dir/216k/215192/139088444/215192_26600911_IMG_13_0003_max_656x437.jpeg,"Mumbai, 50 Marine Drive"
88,Italy,Townhouse,5,2,750,200000,4/9/2023,Sold,https://assets.site-static.com/userFiles/1075/image/si-modern-home.png,"Rome, 25 Via del Corso"
89,France,Single Family,4,3,1800,200000,8/7/2023,Pending,https://content.api.news/v3/images/bin/164008cf6daa2b8cd2fe7df1e7635484,"Paris, 50 Champs-Élysées"
90,Mexico,Apartment,3,4,2000,500000,10/27/2022,Pending,https://lh3.googleusercontent.com/IrX8q_pNLb4ZmB4k8X5OOqLlNaXVrrCk4BT1WTaxtjB2mBSLfDQKSbi_-NnuirlA6D0YwfOrHvZlSL_SC1ssut0Uk8WPVxXHfEFzvWEgBWHMv7EIJfcBKzz7NRxdwA=s0,"Mexico City, 67 Reforma Ave"
91,Canada,Apartment,1,2,1800,1000000,4/5/2022,Sold,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Toronto, 123 Maple St"
92,Australia,Townhouse,4,1,2000,500000,11/4/2022,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"Sydney, 34 George St"
93,Germany,Condo,3,4,2000,200000,2/13/2023,Sold,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"Berlin, 12 Alexanderplatz"
94,Japan,Condo,4,2,2000,600000,10/1/2022,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"Tokyo, 1 Chiyoda"
95,Brazil,Condo,3,4,1200,600000,12/18/2023,Pending,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"São Paulo, 33 Paulista Ave"
96,South Africa,Apartment,3,4,1800,200000,12/7/2022,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Cape Town, 123 Long St"
97,India,Single Family,2,3,2500,400000,4/1/2023,Pending,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Mumbai, 50 Marine Drive"
98,Italy,Single Family,4,2,1800,700000,3/20/2022,Sold,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Rome, 25 Via del Corso"
99,France,Single Family,4,3,1000,700000,3/11/2022,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Paris, 50 Champs-Élysées"
100,Mexico,Apartment,1,2,2000,1000000,7/5/2023,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"Mexico City, 67 Reforma Ave"
101,Canada,Single Family,5,3,750,400000,7/25/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Toronto, 123 Maple St"
102,Australia,Townhouse,4,1,1800,900000,1/10/2023,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"Sydney, 34 George St"
103,Germany,Townhouse,4,2,1000,500000,7/10/2024,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"Berlin, 12 Alexanderplatz"
104,Japan,Apartment,1,1,1800,800000,1/29/2022,Sold,https://medias.residences-immobilier.com/pict/international/f520x390/3/3/6/0/ext_0_3360003.jpg?t=1707501160,"Tokyo, 1 Chiyoda"
105,Brazil,Condo,1,2,750,300000,4/9/2023,Sold,https://cdn.thinkwebcontent.com/property/35351/7381745/20240523210210/w1024h576/s640x480/x-232259784.jpg,"São Paulo, 33 Paulista Ave"
106,South Africa,Single Family,2,2,1200,200000,3/30/2024,Sold,https://lid.zoocdn.com/645/430/6f7de01d9bc1f8950af4917469f1814318888b7e.jpg,"Cape Town, 123 Long St"
107,India,Single Family,5,1,2000,400000,6/1/2024,Pending,https://www.mckissock.com/wp-content/uploads/2016/11/GettyImages-1151832961.jpg,"Mumbai, 50 Marine Drive"
108,Italy,Townhouse,5,3,2500,400000,3/13/2022,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"Rome, 25 Via del Corso"
109,France,Apartment,2,1,2000,700000,3/31/2022,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Paris, 50 Champs-Élysées"
110,Mexico,Condo,1,1,2500,700000,12/6/2023,Pending,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Mexico City, 67 Reforma Ave"
111,Canada,Single Family,1,2,1500,300000,3/25/2022,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Toronto, 123 Maple St"
112,Australia,Apartment,1,3,750,400000,4/11/2024,Pending,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Sydney, 34 George St"
113,Germany,Apartment,4,4,750,1000000,1/7/2024,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Berlin, 12 Alexanderplatz"
114,Japan,Single Family,5,3,1000,900000,3/29/2024,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Tokyo, 1 Chiyoda"
115,Brazil,Condo,5,1,1000,500000,3/16/2023,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"São Paulo, 33 Paulista Ave"
116,South Africa,Single Family,3,4,1000,900000,9/11/2023,Pending,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Cape Town, 123 Long St"
117,India,Apartment,3,1,1200,500000,8/14/2023,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Mumbai, 50 Marine Drive"
118,Italy,Townhouse,4,4,1000,300000,9/29/2022,Pending,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"Rome, 25 Via del Corso"
119,France,Townhouse,4,3,750,200000,4/29/2023,Pending,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"Paris, 50 Champs-Élysées"
